Category: All categories

Month,Fourier Transform: (Worldwide)
2004-01,69
2004-02,93
2004-03,86
2004-04,86
2004-05,72
2004-06,66
2004-07,64
2004-08,58
2004-09,79
2004-10,100
2004-11,85
2004-12,62
2005-01,61
2005-02,73
2005-03,63
2005-04,70
2005-05,61
2005-06,51
2005-07,43
2005-08,42
2005-09,56
2005-10,69
2005-11,63
2005-12,50
2006-01,47
2006-02,59
2006-03,56
2006-04,52
2006-05,49
2006-06,39
2006-07,30
2006-08,34
2006-09,45
2006-10,55
2006-11,51
2006-12,40
2007-01,40
2007-02,45
2007-03,45
2007-04,45
2007-05,41
2007-06,30
2007-07,31
2007-08,28
2007-09,39
2007-10,49
2007-11,45
2007-12,33
2008-01,33
2008-02,39
2008-03,36
2008-04,40
2008-05,33
2008-06,27
2008-07,24
2008-08,23
2008-09,33
2008-10,40
2008-11,40
2008-12,32
2009-01,31
2009-02,36
2009-03,37
2009-04,37
2009-05,31
2009-06,26
2009-07,25
2009-08,25
2009-09,32
2009-10,39
2009-11,43
2009-12,29
2010-01,30
2010-02,35
2010-03,36
2010-04,38
2010-05,32
2010-06,27
2010-07,23
2010-08,24
2010-09,31
2010-10,38
2010-11,34
2010-12,32
2011-01,29
2011-02,33
2011-03,29
2011-04,33
2011-05,30
2011-06,25
2011-07,22
2011-08,22
2011-09,28
2011-10,34
2011-11,33
2011-12,27
2012-01,26
2012-02,30
2012-03,29
2012-04,29
2012-05,27
2012-06,22
2012-07,22
2012-08,21
2012-09,27
2012-10,31
2012-11,32
2012-12,25
2013-01,22
2013-02,29
2013-03,28
2013-04,32
2013-05,25
2013-06,19
2013-07,20
2013-08,20
2013-09,26
2013-10,36
2013-11,34
2013-12,26
2014-01,24
2014-02,27
2014-03,29
2014-04,31
2014-05,28
2014-06,21
2014-07,18
2014-08,18
2014-09,26
2014-10,32
2014-11,36
2014-12,24
2015-01,22
2015-02,26
2015-03,28
2015-04,29
2015-05,25
2015-06,20
2015-07,16
2015-08,17
2015-09,25
2015-10,31
2015-11,31
2015-12,25
2016-01,18
2016-02,24
2016-03,25
2016-04,27
2016-05,24
2016-06,18
2016-07,15
2016-08,15
2016-09,21
2016-10,25
2016-11,30
2016-12,20
2017-01,21
2017-02,24
2017-03,27
2017-04,28
2017-05,25
2017-06,16
2017-07,15
2017-08,16
2017-09,20
2017-10,25
2017-11,31
2017-12,22
2018-01,20
2018-02,25
2018-03,24
2018-04,27
2018-05,23
2018-06,15
2018-07,15
2018-08,15
2018-09,20
2018-10,25
2018-11,26
2018-12,18
2019-01,17
2019-02,19
2019-03,21
2019-04,23
2019-05,20
2019-06,16
2019-07,15
2019-08,15
2019-09,21
2019-10,24
2019-11,27
2019-12,20
2020-01,16
2020-02,20
2020-03,18
2020-04,20
2020-05,19
2020-06,17
2020-07,14
2020-08,14
2020-09,20
2020-10,20
2020-11,18
2020-12,18
2021-01,15
2021-02,16
2021-03,18
2021-04,18
2021-05,16
2021-06,15
2021-07,13
2021-08,12
2021-09,15
2021-10,15
2021-11,16
2021-12,15
2022-01,20
2022-02,25
2022-03,26
2022-04,26
2022-05,24
2022-06,21
2022-07,15
2022-08,15
2022-09,19
2022-10,21
2022-11,28
2022-12,23
2023-01,21
2023-02,23
2023-03,22
2023-04,22
2023-05,20
2023-06,19
2023-07,14
2023-08,14
2023-09,18
2023-10,21
2023-11,23
2023-12,23
2024-01,18
2024-02,21
2024-03,20
2024-04,23
2024-05,20
2024-06,15
2024-07,13
2024-08,13
2024-09,16
2024-10,20
2024-11,21
2024-12,17
2025-01,16
2025-02,17
2025-03,17
2025-04,17
2025-05,17
2025-06,16
